Neighborhood,Median household Income
City of Chicago,"$38,625.00"
Albany Park,"$40,711.00"
Archer Heights,"$39,431.00"
Armour Square,"$22,756.00"
Ashburn,"$53,633.00"
Auburn Gresham,"$34,238.00"
Austin,"$33,663.00"
Avalon Park,"$44,344.00"
Avondale,"$36,677.00"
Belmont Cragin,"$43,159.00"
Beverly,"$66,823.00"
Bridgeport,"$35,535.00"
Brighton Park,"$36,245.00"
Burnside,"$34,790.00"
Calumet Heights,"$46,326.00"
Chatham,"$32,341.00"
Chicago Lawn,"$35,983.00"
Clearing,"$45,533.00"
Douglas,"$24,835.00"
Dunning,"$49,367.00"
East Garfield Park,"$24,216.00"
East Side,"$39,724.00"
Edgewater,"$35,766.00"
Edison Park,"$57,083.00"
Englewood,"$18,955.00"
Forest Glen,"$68,269.00"
Fuller Park,"$18,412.00"
Gage Park,"$36,463.00"
Garfield Ridge,"$45,436.00"
Grand Boulevard,"$14,178.00"
Greater Grand Crossing,"$27,916.00"
Hegewisch,"$43,665.00"
Hermosa,"$38,159.00"
Humboldt Park,"$28,728.00"
Hyde Park,"$35,991.00"
Irving Park,"$42,037.00"
Jefferson Park,"$49,640.00"
Kenwood,"$36,612.00"
Lake View,"$53,881.00"
Lincoln Park,"$68,613.00"
Lincoln Square,"$40,898.00"
Logan Square,"$36,245.00"
Loop,"$65,128.00"
Lower West Side,"$27,763.00"
McKinley Park,"$36,010.00"
Montclare,"$46,636.00"
Morgan Park,"$53,133.00"
Mount Greenwood,"$57,493.00"
Near North Side,"$57,811.00"
Near South Side,"$34,329.00"
Near West Side,"$29,588.00"
New City,"$25,647.00"
North Center,"$51,758.00"
North Lawndale,"$18,342.00"
North Park,"$49,208.00"
Norwood Park,"$53,402.00"
Oakland,"$10,739.00"
O'Hare,"$43,542.00"
Portage Park,"$45,117.00"
Pullman,"$30,966.00"
Riverdale,"$13,178.00"
Rogers Park,"$31,602.00"
Roseland,"$38,237.00"
South Chicago,"$28,279.00"
South Deering,"$34,789.00"
South Lawndale,"$32,320.00"
South Shore,"$27,748.00"
Uptown,"$32,328.00"
Washington Heights,"$43,201.00"
Washington Park,"$15,160.00"
West Elsdon,"$45,310.00"
West Englewood,"$26,693.00"
West Garfield Park,"$23,121.00"
West Lawn,"$47,017.00"
West Pullman,"$40,478.00"
West Ridge,"$41,144.00"
West Town,"$38,915.00"
Woodlawn,"$18,266.00"
